anno,numero,premio,tipo
2013,20,1000,normal
2013,219,1000,normal
2013,324,1000,normal
2013,330,1000,normal
2013,461,1000,normal
2013,464,1000,normal
2013,685,1000,normal
2013,720,1000,normal
2013,780,1000,normal
2013,877,1000,normal
2013,916,1000,normal
2013,965,1000,normal
2013,1038,1000,normal
2013,1055,1000,normal
2013,1067,1000,normal
2013,1104,1000,normal
2013,1113,1000,normal
2013,1139,1000,normal
2013,1334,1000,normal
2013,1460,1000,normal
2013,1637,1000,normal
2013,1646,1000,normal
2013,1698,1000,normal
2013,1854,1000,normal
2013,2017,1000,normal
2013,2023,1000,normal
2013,2038,1000,normal
2013,2106,1000,normal
2013,2107,1000,normal
2013,2187,1000,normal
2013,2202,1000,normal
2013,2321,1000,normal
2013,2511,1000,normal
2013,2560,1000,normal
2013,2596,1000,normal
2013,2697,1000,normal
2013,2714,1000,normal
2013,2751,1000,normal
2013,2774,1000,normal
2013,2776,1000,normal
2013,2940,1000,normal
2013,2992,1000,normal
2013,3019,1000,normal
2013,3195,1000,normal
2013,3208,1000,normal
2013,3342,1000,normal
2013,3355,1000,normal
2013,3372,1000,normal
2013,3376,1000,normal
2013,3404,1000,normal
2013,3450,1000,normal
2013,3457,1000,normal
2013,3504,1000,normal
2013,3518,1000,normal
2013,3544,1000,normal
2013,3565,1000,normal
2013,3572,1000,normal
2013,3653,1000,normal
2013,3666,1000,normal
2013,3827,1000,normal
2013,3932,1000,normal
2013,4039,1000,normal
2013,4181,1000,normal
2013,4218,1000,normal
2013,4259,1000,normal
2013,4358,1000,normal
2013,4388,1000,normal
2013,4427,1000,normal
2013,4448,1000,normal
2013,4452,1000,normal
2013,4564,1000,normal
2013,4574,1000,normal
2013,4615,1000,normal
2013,4969,1000,normal
2013,5016,1000,normal
2013,5079,1000,normal
2013,5189,1000,normal
2013,5222,1000,normal
2013,5259,1000,normal
2013,5287,1000,normal
2013,5418,1000,normal
2013,5480,1000,normal
2013,5495,1000,normal
2013,5606,1000,normal
2013,5659,1000,normal
2013,5703,1000,normal
2013,5711,1000,normal
2013,5807,1000,normal
2013,5825,1000,normal
2013,5871,1000,normal
2013,5892,1000,normal
2013,5914,1000,normal
2013,5721,60000,especial
2013,6022,1000,normal
2013,6028,1000,normal
2013,6052,1000,normal
2013,6075,1000,normal
2013,6139,1000,normal
2013,6214,1000,normal
2013,6252,1000,normal
2013,6324,1000,normal
2013,6353,1000,normal
2013,6387,1000,normal
2013,6407,1000,normal
2013,6416,1000,normal
2013,6430,1000,normal
2013,6652,1000,normal
2013,6711,1000,normal
2013,6731,1000,normal
2013,6752,1000,normal
2013,6769,1000,normal
2013,6818,1000,normal
2013,7026,1000,normal
2013,7175,1000,normal
2013,7312,1000,normal
2013,7394,1000,normal
2013,7451,1000,normal
2013,7516,1000,normal
2013,7518,1000,normal
2013,7521,1000,normal
2013,7529,1000,normal
2013,7538,1000,normal
2013,7546,1000,normal
2013,7577,1000,normal
2013,7676,1000,normal
2013,7690,1000,normal
2013,7712,1000,normal
2013,7770,1000,normal
2013,7891,1000,normal
2013,7934,1000,normal
2013,7974,1000,normal
2013,8020,1000,normal
2013,8032,1000,normal
2013,8055,1000,normal
2013,8171,1000,normal
2013,8193,1000,normal
2013,8263,1000,normal
2013,8287,1000,normal
2013,8339,1000,normal
2013,8416,1000,normal
2013,8598,1000,normal
2013,8612,1000,normal
2013,8643,1000,normal
2013,8706,1000,normal
2013,8726,1000,normal
2013,8730,1000,normal
2013,8780,1000,normal
2013,8815,1000,normal
2013,8837,1000,normal
2013,9076,1000,normal
2013,9126,1000,normal
2013,9141,1000,normal
2013,9144,1000,normal
2013,9164,1000,normal
2013,9189,1000,normal
2013,9210,1000,normal
2013,9224,1000,normal
2013,9347,1000,normal
2013,9435,1000,normal
2013,9578,1000,normal
2013,9646,1000,normal
2013,9756,1000,normal
2013,9757,1000,normal
2013,9760,1000,normal
2013,9813,1000,normal
2013,9899,1000,normal
2013,9906,1000,normal
2013,9935,1000,normal
2013,9988,1000,normal
2013,10001,1000,normal
2013,10024,1000,normal
2013,10026,1000,normal
2013,10032,1000,normal
2013,10099,1000,normal
2013,10109,1000,normal
2013,10212,1000,normal
2013,10290,1000,normal
2013,10301,1000,normal
2013,10340,1000,normal
2013,10341,1000,normal
2013,10346,1000,normal
2013,10377,1000,normal
2013,10387,1000,normal
2013,10423,1000,normal
2013,10614,1000,normal
2013,10690,1000,normal
2013,10720,1000,normal
2013,10750,1000,normal
2013,10778,1000,normal
2013,10780,1000,normal
2013,10911,1000,normal
2013,10925,1000,normal
2013,11020,1000,normal
2013,11030,1000,normal
2013,11164,1000,normal
2013,11165,1000,normal
2013,11166,1000,normal
2013,11180,1000,normal
2013,11273,1000,normal
2013,11340,1000,normal
2013,11344,1000,normal
2013,11349,1000,normal
2013,11367,1000,normal
2013,11515,1000,normal
2013,11528,1000,normal
2013,11540,1000,normal
2013,11634,1000,normal
2013,11750,1000,normal
2013,11761,1000,normal
2013,11807,1000,normal
2013,11820,1000,normal
2013,11869,1000,normal
2013,11971,1000,normal
2013,12036,1000,normal
2013,12054,1000,normal
2013,12142,1000,normal
2013,12176,1000,normal
2013,12242,1000,normal
2013,12248,1000,normal
2013,12343,1000,normal
2013,12368,1000,normal
2013,12370,1000,normal
2013,12372,1000,normal
2013,12380,1000,normal
2013,12434,1000,normal
2013,12478,1000,normal
2013,12484,1000,normal
2013,12506,1000,normal
2013,12531,1000,normal
2013,12603,1000,normal
2013,12635,1000,normal
2013,12651,1000,normal
2013,12654,1000,normal
2013,12661,1000,normal
2013,12720,1000,normal
2013,12811,1000,normal
2013,12889,1000,normal
2013,12948,1000,normal
2013,13003,1000,normal
2013,13192,1000,normal
2013,13195,1000,normal
2013,13246,1000,normal
2013,13352,1000,normal
2013,13497,1000,normal
2013,13516,1000,normal
2013,13530,1000,normal
2013,13537,1000,normal
2013,13648,1000,normal
2013,13744,1000,normal
2013,13751,1000,normal
2013,13764,1000,normal
2013,13767,1000,normal
2013,13961,1000,normal
2013,13967,1000,normal
2013,14018,1000,normal
2013,14114,1000,normal
2013,14141,1000,normal
2013,14144,1000,normal
2013,14291,1000,normal
2013,14296,1000,normal
2013,14364,1000,normal
2013,14384,1000,normal
2013,14421,1000,normal
2013,14488,1000,normal
2013,14598,1000,normal
2013,14759,1000,normal
2013,14866,1000,normal
2013,14867,1000,normal
2013,14870,1000,normal
2013,14874,1000,normal
2013,14878,1000,normal
2013,14945,1000,normal
2013,14963,1000,normal
2013,15051,1000,normal
2013,15070,1000,normal
2013,15200,1000,normal
2013,15212,1000,normal
2013,15268,1000,normal
2013,15286,1000,normal
2013,15300,1000,normal
2013,15325,1000,normal
2013,15330,1000,normal
2013,15339,1000,normal
2013,15388,1000,normal
2013,15441,1000,normal
2013,15516,1000,normal
2013,15522,1000,normal
2013,15869,1000,normal
2013,15993,1000,normal
2013,16171,1000,normal
2013,16188,1000,normal
2013,16331,1000,normal
2013,16354,1000,normal
2013,16360,1000,normal
2013,16370,1000,normal
2013,16416,1000,normal
2013,16438,1000,normal
2013,16469,1000,normal
2013,16533,1000,normal
2013,16549,1000,normal
2013,16584,1000,normal
2013,16593,1000,normal
2013,16609,1000,normal
2013,16668,1000,normal
2013,16737,1000,normal
2013,16826,1000,normal
2013,16890,1000,normal
2013,16914,1000,normal
2013,17122,1000,normal
2013,17155,1000,normal
2013,17285,1000,normal
2013,14850,60000,especial
2013,17318,1000,normal
2013,17380,1000,normal
2013,17398,1000,normal
2013,17432,1000,normal
2013,17455,1000,normal
2013,17477,1000,normal
2013,17493,1000,normal
2013,17519,1000,normal
2013,17532,1000,normal
2013,17544,1000,normal
2013,17750,1000,normal
2013,17940,1000,normal
2013,17963,1000,normal
2013,17997,1000,normal
2013,18015,1000,normal
2013,18061,1000,normal
2013,18106,1000,normal
2013,18148,1000,normal
2013,18201,1000,normal
2013,18224,1000,normal
2013,18376,1000,normal
2013,18422,1000,normal
2013,18555,1000,normal
2013,18568,1000,normal
2013,18595,1000,normal
2013,18623,1000,normal
2013,18727,1000,normal
2013,18848,1000,normal
2013,19055,1000,normal
2013,19120,1000,normal
2013,19173,1000,normal
2013,19285,1000,normal
2013,19315,1000,normal
2013,19321,1000,normal
2013,19338,1000,normal
2013,19372,1000,normal
2013,19472,1000,normal
2013,19492,1000,normal
2013,19508,1000,normal
2013,19606,1000,normal
2013,19651,1000,normal
2013,19683,1000,normal
2013,19689,1000,normal
2013,19787,1000,normal
2013,19808,1000,normal
2013,19810,1000,normal
2013,19929,1000,normal
2013,19949,1000,normal
2013,17320,60000,especial
2013,20186,1000,normal
2013,20349,1000,normal
2013,20462,1000,normal
2013,20510,1000,normal
2013,20560,1000,normal
2013,20567,1000,normal
2013,20674,1000,normal
2013,20711,1000,normal
2013,20724,1000,normal
2013,20785,1000,normal
2013,20828,1000,normal
2013,20885,1000,normal
2013,20932,1000,normal
2013,20935,1000,normal
2013,20945,1000,normal
2013,20956,1000,normal
2013,21026,1000,normal
2013,21033,1000,normal
2013,21053,1000,normal
2013,21147,1000,normal
2013,21163,1000,normal
2013,21180,1000,normal
2013,21210,1000,normal
2013,21237,1000,normal
2013,21269,1000,normal
2013,21415,1000,normal
2013,21491,1000,normal
2013,21499,1000,normal
2013,21510,1000,normal
2013,21528,1000,normal
2013,21560,1000,normal
2013,21580,1000,normal
2013,21714,1000,normal
2013,21799,1000,normal
2013,21871,1000,normal
2013,21899,1000,normal
2013,21946,1000,normal
2013,21986,1000,normal
2013,21991,1000,normal
2013,22042,1000,normal
2013,22175,1000,normal
2013,22188,1000,normal
2013,22292,1000,normal
2013,22409,1000,normal
2013,22581,1000,normal
2013,22659,1000,normal
2013,22667,1000,normal
