anno,numero,premio,tipo,centena,numero_int,numero_str
2013,00020,1000,normal,020,20,00020
2013,00219,1000,normal,219,219,00219
2013,00324,1000,normal,324,324,00324
2013,00330,1000,normal,330,330,00330
2013,00461,1000,normal,461,461,00461
2013,00464,1000,normal,464,464,00464
2013,00685,1000,normal,685,685,00685
2013,00720,1000,normal,720,720,00720
2013,00780,1000,normal,780,780,00780
2013,00877,1000,normal,877,877,00877
2013,00916,1000,normal,916,916,00916
2013,00965,1000,normal,965,965,00965
2013,01038,1000,normal,038,1038,01038
2013,01055,1000,normal,055,1055,01055
2013,01067,1000,normal,067,1067,01067
2013,01104,1000,normal,104,1104,01104
2013,01113,1000,normal,113,1113,01113
2013,01139,1000,normal,139,1139,01139
2013,01334,1000,normal,334,1334,01334
2013,01460,1000,normal,460,1460,01460
2013,01637,1000,normal,637,1637,01637
2013,01646,1000,normal,646,1646,01646
2013,01698,1000,normal,698,1698,01698
2013,01854,1000,normal,854,1854,01854
2013,02017,1000,normal,017,2017,02017
2013,02023,1000,normal,023,2023,02023
2013,02038,1000,normal,038,2038,02038
2013,02106,1000,normal,106,2106,02106
2013,02107,1000,normal,107,2107,02107
2013,02187,1000,normal,187,2187,02187
2013,02202,1000,normal,202,2202,02202
2013,02321,1000,normal,321,2321,02321
2013,02511,1000,normal,511,2511,02511
2013,02560,1000,normal,560,2560,02560
2013,02596,1000,normal,596,2596,02596
2013,02697,1000,normal,697,2697,02697
2013,02714,1000,normal,714,2714,02714
2013,02751,1000,normal,751,2751,02751
2013,02774,1000,normal,774,2774,02774
2013,02776,1000,normal,776,2776,02776
2013,02940,1000,normal,940,2940,02940
2013,02992,1000,normal,992,2992,02992
2013,03019,1000,normal,019,3019,03019
2013,03195,1000,normal,195,3195,03195
2013,03208,1000,normal,208,3208,03208
2013,03342,1000,normal,342,3342,03342
2013,03355,1000,normal,355,3355,03355
2013,03372,1000,normal,372,3372,03372
2013,03376,1000,normal,376,3376,03376
